Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2.021E+11;3;FREDERIC SOULIE RUE;0;N/A;-1;2;0;3;0;0;2;;-1;1;0;4;50
2.021E+11;4;FLOQUET CHARLES (AVENUE);0;N/A;1;1;0;2;0;0;1;;-1;1;0;1;30
2.021E+11;3;955;0;N/A;2;2;0;1;47;400;3;;-1;2;0;1;80
2.021E+11;3;LYON (AVENUE DE);0;N/A;2;2;0;1;3;650;1;;-1;2;0;1;50
2.021E+11;4;VACHET (RUE JULIEN);0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;CHASSEURS (RUE DU 16 EME);0;N/A;2;2;0;1;0;0;1;;-1;2;9;1;50
2.021E+11;4;JEAN DE LA FONTAINE (PLACE);0;N/A;3;2;0;1;0;0;1;;-1;1;0;8;30
2.021E+11;3;EMERY (AVENUE ANDRE);0;N/A;2;3;0;1;1;240;1;;-1;2;5;1;50
2.021E+11;4;PARIS (AVENUE DE);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;7;D.5;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;80
2.021E+11;2;RN165 (VE);0;N/A;3;2;0;1;35;800;1;;-1;1;0;1;110
2.021E+11;3;SAINTE BEUVE (Bld);0;N/A;2;2;0;2;46;700;3;;-1;1;0;1;50
2.021E+11;3;RD 1005;0;N/A;1;1;0;1;18;150;2;;-1;2;2;1;90
2.021E+11;3;342;0;N/A;2;2;0;2;33;434;1;;-1;1;0;1;70
2.021E+11;4;BOURGET (AVENUE PAUL);0;N/A;4;0;3;1;0;0;1;;-1;1;4;6;40
2.021E+11;2;RN 1569 LA TRANSHUMANCE;0;N/A;2;1;0;1;1;0;3;;-1;1;9;1;80
2.021E+11;7;CALAMEAU CHEMIN DE;0;N/A;2;2;0;1;9;0;1;;-1;1;0;1;50
2.021E+11;4;GARE (AVENUE DE LA);0;N/A;2;2;3;1;0;1;1;;-1;1;0;1;50
2.021E+11;4;VAUCRISES (AVENUE DES);0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
2.021E+11;4;ARRAS (Bld d');0;N/A;3;1;0;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;3;AIGLON (Rue de l');0;N/A;2;2;0;2;10;362;1;;-1;1;5;1;50
2.021E+11;4;DE GAULLE (Ave Charles);0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;CANADIENS ( Rue des );0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;4;50
2.021E+11;4;BILLIERES (AV ETIENNE) DU 1AU 78;0;N/A;2;3;1;1;-1;-1;1;;-1;1;0;5;5
2.021E+11;4;CRS GAMBETTA;0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;4;ROBESPIERRE (RUE);0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;DELON (RUE ANDRE);0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;30
2.021E+11;3;POMPIDOU (AVENUE GEORGES);0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;BD DES LICES;0;N/A;-1;2;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;3;N/A;-1;N/A;2;4;0;1;32;1100;1;;-1;1;0;1;90
2.021E+11;1;AUTOROUTE A15;0;N/A;3;5;0;1;10;0;1;;-1;1;0;1;110
2.021E+11;1;AUTOROUTE A115;0;N/A;3;4;0;2;1;0;1;;-1;1;0;1;70
2.021E+11;1;AUTOROUTE A115;0;N/A;3;4;0;1;5;0;1;;-1;1;0;1;90
2.021E+11;2;RN 184;0;N/A;3;4;0;2;3;0;3;;-1;2;0;1;70
2.021E+11;1;AUTOROUTE A115;0;N/A;3;4;0;1;10;0;1;;-1;2;0;1;90
2.021E+11;1;AUTOROUTE A1;0;N/A;3;6;0;1;17;200;1;;-1;1;0;1;110
2.021E+11;1;AUTOROUTE A15;0;N/A;3;6;0;1;10;100;2;;-1;3;0;2;110
2.021E+11;4;MASCAREIGNES (Avenue des);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;3;439;-1;N/A;2;2;0;2;2;800;1;;-1;1;0;1;80
2.021E+11;2;JAURES (BOULEVARD JEAN);0;N/A;1;3;0;4;0;0;2;;-1;1;0;1;90
2.021E+11;3;765;0;D;2;2;0;1;74;400;1;;-1;1;0;1;80
2.021E+11;4;BACCIOCCHI COMTE RUE;0;N/A;1;1;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;LORETTO CHEMIN;0;N/A;1;1;0;2;-1;-1;1;;-1;2;9;1;50
2.021E+11;2;ROUTE DU STILETTO;0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;50
2.021E+11;2;MEZZAVIA ROUTE DE;0;N/A;2;2;0;2;-1;-1;1;;-1;2;0;1;50
2.021E+11;4;N/A;0;D;2;2;0;1;-1;-1;4;;-1;1;0;1;80
2.021E+11;4;N/A;0;N/A;2;2;0;2;-1;-1;1;;-1;2;0;4;50
2.021E+11;7;40;-1;F;2;2;0;1;-1;-1;2;;-1;1;0;1;30
2.021E+11;2;7;0;N/A;2;2;0;2;-1;-1;1;;-1;1;0;1;70
2.021E+11;4;CHARLES DE GAULLE (RUE);0;N/A;2;2;2;2;0;0;1;;-1;1;0;1;50
2.021E+11;4;PLACE DE L'EGLISE;0;N/A;2;-1;0;1;0;100;1;;-1;1;9;8;50
2.021E+11;3;DE GAULLE (AV DU GAL) APRES NÂ°26;0;N/A;2;2;2;1;0;0;3;;-1;1;0;1;50
2.021E+11;4;CRAU AVENUE DE LA;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;30
2.021E+11;2;RN 1589 LA TRANSHUMANCE;0;N/A;2;2;3;1;0;0;1;;-1;1;0;1;80
2.021E+11;7;CD16 (LE DELA);0;N/A;2;2;0;2;38;0;3;;-1;1;0;1;80
2.021E+11;4;CALAMEAU CHEMIN DE;0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;50
2.021E+11;7;D.51;0;N/A;-1;0;0;2;1;0;2;;-1;1;0;1;80
2.021E+11;7;BELVAL CHEMIN DE;0;N/A;2;2;0;3;1;0;4;;-1;1;0;1;80
2.021E+11;4;SEVERIERS (CHEMIN DES);0;N/A;3;2;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;GRAILLE (AVENUE JEAN);0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;4;CLEMENCEAU (BOULEVARD GEORGES);0;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;1;61;0;A;1;1;0;1;264;0;3;;-1;1;3;8;70
2.021E+11;3;626;-1;N/A;2;2;0;2;11;300;2;;-1;1;0;1;80
2.021E+11;7;SAINT JEAN (AVENUE DE);0;N/A;-1;2;0;1;0;0;1;;-1;1;6;1;30
2.021E+11;3;PARIS RUE DE;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;30
2.021E+11;4;SOISSONS (AVENUE DE) 01;0;N/A;2;1;0;2;0;0;1;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;3;3;3;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;2;-1;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;3;N/A;-1;N/A;2;2;-1;1;30;105;1;;-1;1;2;1;30
2.021E+11;1;43;-1;N/A;3;4;0;1;69;10;1;;-1;1;0;1;130
2.021E+11;3;201;-1;N/A;2;2;2;1;3;90;1;;-1;1;-1;1;70
2.021E+11;3;974;-1;N/A;2;3;0;2;18;200;1;;-1;1;0;3;50
2.021E+11;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;4;1;0;1;50
2.021E+11;3;LOGE (RUE DE LA);0;N/A;2;2;0;1;1;0;1;;-1;1;0;1;70
2.021E+11;7;GAFFAREL (RUE);0;N/A;2;4;0;2;1;0;2;;-1;2;3;1;50
2.021E+11;3;918;0;D;2;2;0;1;6;167;2;;-1;1;0;3;90
2.021E+11;7;JEAN MOULIN BOULEVARD;0;N/A;2;2;0;2;1;0;1;;-1;1;0;1;50
2.021E+11;4;CHIRONS ROUTE DES;0;N/A;1;2;0;1;1;0;1;;-1;1;0;1;50
2.021E+11;4;AVENUE DE LAUMIERE;0;N/A;2;3;0;1;0;0;1;;-1;2;0;1;30
